b,class,prime_factors,p_min,first_G_k,n_geometric_steps,factor_spread,sharpness
4,prime_power,2,2,2,1,1,inf
6,semiprime_unbalanced,2|3,2,2,2,1,inf
7,prime,7,7,7,1,1,inf
8,prime_power,2,2,2,1,1,inf
9,prime_power,3,3,3,1,1,inf
10,semiprime_unbalanced,2|5,2,2,2,3,0.3333333333333333
11,prime,11,11,11,1,1,inf
12,smooth_composite,2|3,2,2,2,1,inf
13,prime,13,13,13,1,1,inf
14,semiprime_unbalanced,2|7,2,2,2,5,0.2
15,semiprime_balanced,3|5,3,3,2,2,0.5
16,prime_power,2,2,2,1,1,inf
17,prime,17,17,17,1,1,inf
18,smooth_composite,2|3,2,2,2,1,inf
19,prime,19,19,19,1,1,inf
20,smooth_composite,2|5,2,2,2,3,0.3333333333333333
22,semiprime_unbalanced,2|11,2,2,2,9,0.1111111111111111
23,prime,23,23,23,1,1,inf
24,smooth_composite,2|3,2,2,2,1,inf
25,prime_power,5,5,5,1,1,inf
26,semiprime_unbalanced,2|13,2,2,2,11,0.09090909090909091
27,prime_power,3,3,3,1,1,inf
30,three_factor,2|3|5,2,2,3,3,0.3333333333333333
34,semiprime_unbalanced,2|17,2,2,2,15,0.06666666666666667
35,semiprime_balanced,5|7,5,5,2,2,0.5
36,smooth_composite,2|3,2,2,2,1,inf
42,three_factor,2|3|7,2,2,3,5,0.2
49,prime_power,7,7,7,1,1,inf
60,smooth_composite,2|3|5,2,2,3,3,0.3333333333333333
66,three_factor,2|3|11,2,2,3,9,0.1111111111111111
70,three_factor,2|5|7,2,2,3,5,0.2
77,semiprime_balanced,7|11,7,7,2,4,0.25
105,three_factor,3|5|7,3,3,3,4,0.25
120,smooth_composite,2|3|5,2,2,3,3,0.3333333333333333
143,semiprime_balanced,11|13,11,11,2,2,0.5
165,three_factor,3|5|11,3,3,3,8,0.125
221,semiprime_balanced,13|17,13,13,2,4,0.25
323,semiprime_balanced,17|19,17,17,2,2,0.5